date,pce,pop,psavert,uempmed,unemploy,class
01/08/2008,10094.7,305045,3.8,9.7,9438,Train
01/09/2008,10043.5,305309,4.7,10.2,9494,Train
01/10/2008,9960.3,305554,5.5,10.4,10074,Train
01/11/2008,9820.8,305786,6.4,9.8,10538,Train
01/12/2008,9730.7,306004,6.4,10.5,11286,Train
01/01/2009,9783.8,306208,6.2,10.7,12058,Train
01/02/2009,9766,306402,5.5,11.7,12898,Train
01/03/2009,9718.5,306588,5.9,12.3,13426,Train
01/04/2009,9724.8,306787,6.8,13.1,13853,Train
01/05/2009,9748.9,306984,8.2,14.2,14499,Train
01/06/2009,9806.9,307206,6.7,17.2,14707,Train
01/07/2009,9841.7,307439,6,16,14601,Train
01/08/2009,9961,307685,4.9,16.3,14814,Train
01/09/2009,9883.4,307946,5.9,17.8,15009,Train
01/10/2009,9931.9,308189,5.4,18.9,15352,Train
01/11/2009,9940.5,308418,5.9,19.8,15219,Train
01/12/2009,9998.9,308633,5.9,20.1,15098,Train
01/01/2010,10001.8,308833,6.1,20,15046,Train
01/02/2010,10030.6,309027,5.8,19.9,15113,Train
01/03/2010,10089.1,309212,5.7,20.4,15202,Train
01/04/2010,10112.9,309191.211,6.4,22.1,15325,Train
01/05/2010,10131,309369.053,7,22.3,14849,Train
01/06/2010,10151.4,309548.502,6.9,25.2,14474,Train
01/07/2010,10184.7,309745.698,6.8,22.3,14512,Train
01/08/2010,10228.2,309957.775,6.9,21,14648,Train
01/09/2010,10249,310176.466,6.7,20.3,14579,Train
01/10/2010,10304.7,310399.958,6.6,21.2,14516,Train
01/11/2010,10354.7,310595.764,6.6,21,15081,Train
01/12/2010,10392.1,310781.705,7.1,21.9,14348,Train
01/01/2011,10435.5,310960.74,7.4,21.5,14013,Train
01/02/2011,10470.1,311113.376,7.6,21.1,13820,Train
01/03/2011,10550.5,311265.404,7,21.5,13737,Train
01/04/2011,10587.6,311436.238,6.9,20.9,13957,Train
01/05/2011,10612,311607.08,6.9,21.6,13855,Train
01/06/2011,10636.8,311791.223,7.2,22.4,13962,Train
01/07/2011,10677.5,311997.049,7.3,22,13763,Train
01/08/2011,10700.6,312205.367,7.2,22.4,13818,Train
01/09/2011,10738.1,312429.118,6.8,22,13948,Train
01/10/2011,10753.1,312644.159,6.8,20.6,13594,Train
01/11/2011,10759.5,312829.523,7,20.8,13302,Train
01/12/2011,10772.2,313009.712,7.8,20.5,13093,Train
01/01/2012,10862.1,313183.179,8,20.8,12797,Train
01/02/2012,10953.5,313338.977,8,19.7,12813,Train
01/03/2012,10951.8,313499.369,8.5,19.2,12713,Train
01/04/2012,10979.7,313667.127,8.7,19.1,12646,Train
01/05/2012,10968.6,313830.53,8.8,19.9,12660,Train
01/06/2012,10946.3,314017.594,9.1,20.4,12692,Train
01/07/2012,10977.2,314210.786,8.2,17.5,12656,Train
01/08/2012,11004.1,314422.341,8,18.4,12471,Train
01/09/2012,11061.5,314646.749,8.2,18.8,12115,Train
01/10/2012,11099.8,314853.978,8.8,19.9,12124,Train
01/11/2012,11136.8,315053.863,9.7,18.6,12005,Train
01/12/2012,11140.5,315232.752,12,17.7,12298,Train
01/01/2013,11202.8,315389.595,6.3,15.8,12471,Train
01/02/2013,11239.6,315520.143,5.8,17.2,11950,Train
01/03/2013,11227.1,315662.224,5.9,17.6,11689,Train
01/04/2013,11205.4,315817.855,6.4,17.1,11760,Train
01/05/2013,11244.6,315983.654,6.7,17.1,11654,Train
01/06/2013,11268.8,316171.042,6.8,17,11751,Train
01/07/2013,11296.7,316358.778,6.6,16.2,11335,Train
01/08/2013,11329.2,316580.327,6.7,16.5,11279,Train
01/09/2013,11366.9,316806.125,6.8,16.5,11270,Train
01/10/2013,11419.8,317022.27,6.3,16.3,11136,Train
01/11/2013,11487.6,317228.026,6.2,17.1,10787,Train
01/12/2013,11517.9,317411.551,6.4,17.3,10404,Train
01/01/2014,11512.5,317593.923,7.1,15.4,10202,Train
01/02/2014,11566.2,317753.883,7.3,15.9,10349,Train
01/03/2014,11643,317917.203,7.4,15.8,10380,Train
01/04/2014,11702.6,318089.218,7.4,15.7,9702,Train
01/05/2014,11748.4,318269.505,7.4,14.6,9859,Train
01/06/2014,11817,318464.152,7.4,13.8,9460,Train
01/07/2014,11860.5,318662.368,7.5,13.1,9608,Train
01/08/2014,11944.3,318893.786,7.2,12.9,9599,Train
01/09/2014,11957.4,319125.296,7.4,13.4,9262,Train
01/10/2014,12023,319353.734,7.2,13.6,8990,Train
01/11/2014,12051.4,319564.209,7.3,13,9090,Train
01/12/2014,12062,319746.157,7.6,12.9,8717,Train
01/01/2015,12046,319928.646,7.7,13.2,8903,Train
01/02/2015,12082.4,320074.511,7.9,12.9,8610,Train
01/03/2015,12158.3,320230.786,7.4,12,8504,Train
01/04/2015,12193.8,320402.295,7.6,11.5,8526,Train
